ruling,record_file,class,item_summary,evidence
1,2026-08-29-w11-prework-rulings.md,NONE_FOUND,,
2,2026-08-29-w11-prework-rulings.md,NONE_FOUND,,
3,2026-08-29-w11-prework-rulings.md,NONE_FOUND,,
4,2026-08-29-w11-prework-rulings.md,NONE_FOUND,,
5,2026-08-29-w11-prework-rulings.md,NONE_FOUND,,
6,2026-08-29-w11-slice1-rulings.md,CONSTRUCTIBLE,bench tooling not reaching pyproject.toml/CI,scripts/bench-rating.py exists stdlib-only; lockfile/CI grep = 0
7,2026-08-29-w11-slice1-rulings.md,NONE_FOUND,,full section read; no phrasing hit under any form
8,2026-08-29-w11-slice1-rulings.md,CONSTRUCTIBLE,booster deserialised once per N quotes,packages/pricing-core/tests/test_rating_runtime.py:282 passes
9,2026-08-29-w11-slice1-rulings.md,CONSTRUCTIBLE,two firing constraints both in decline_reasons,packages/pricing-core/tests/test_rating_score.py:239 passes
10,2026-08-29-w11-slice1-rulings.md,NONE_FOUND,,full section read; none
11,2026-08-29-w11-slice1-rulings.md,NONE_FOUND,,full section read; none
12,2026-08-29-w11-slice1-rulings.md,NONE_FOUND,,full section read incl. addendum/findings; none
13,2026-08-29-w11-slice1-rulings.md,NONE_FOUND,,full section read; none
14,2026-08-29-w11-slice2-rulings.md,CONSTRUCTIBLE,null rating_version_ref -> 409; override clause not triggered,backend/tests/test_score.py:139 passes; schema check confirms not triggered
15,2026-08-29-w11-slice2-rulings.md,CONSTRUCTIBLE,blank change_summary refused 422; override not triggered,backend/tests/test_rating_versions.py:270 passes
16,2026-08-29-w11-slices-2-4-rulings.md,CONSTRUCTIBLE,item1 WITHDRAWN (originality not substance) + item2 degraded-read built,register F32; docs/plans/2026-08-29-w11-algorithm-pin-maturity.md:124 Correction to Ruling 16
17,2026-08-29-w11-slices-2-4-rulings.md,CONSTRUCTIBLE,malformed ScoringResult returned verbatim 200 not 500,backend/tests/test_score.py:340 passes
18,2026-08-29-w11-slices-2-4-rulings.md,CONSTRUCTIBLE,unscoped account refused + RBAC no-builtin-role guard,backend/tests/test_score.py:230 + test_rbac.py:101 both pass
19,2026-08-29-w11-slices-2-4-rulings.md,CONSTRUCTIBLE,EVIDENCE_FLOOR vs FR-GOV-37 named list, one read of each,docs/specs/06-governance.md:145 carries the amendment citing Ruling 19
20,2026-08-29-w11-slices-2-4-rulings.md,CONSTRUCTIBLE,deployment submission reaching evidence check; not yet built as ruled,DEFAULT_POLICY has no deployment entry consistent with disposition
21,2026-08-29-w11-slices-2-4-rulings.md,INDICATIVE,standard for judging a future auditor not a system check,measurement derivable (extraction command given); no violation threshold stated; subagent had to supply the pass/fail judgment itself
22,2026-08-29-w11-1-2-rate-table-maturity-ruling.md,CONSTRUCTIBLE,status-column tripwire + no resolver hardcode,backend/tests/test_rating_version_compile.py:240 passes; compile.py:311
23,2026-08-29-w11-slices-3-4-rulings.md,CONSTRUCTIBLE,trace-delete refusal under NFR-OVR-6 floor,backend/tests/test_traces.py:258,284 both pass
24,2026-08-29-w11-slices-3-4-rulings.md,CONSTRUCTIBLE,per-run threshold above workspace setting refused,backend/tests/test_scoring_handlers.py:292,323 both pass
25,2026-08-29-w11-slices-3-4-rulings.md,CONSTRUCTIBLE,batch-produced traces excluded from GET /traces,backend/tests/test_traces_api.py:275 passes
26,2026-08-29-w11-ruling-vs-plan-scope.md,CONSTRUCTIBLE,merged PR touching scoped-out file with no ruling citation; not yet built,proposed obligation absent from delivery-process.md
27,2026-08-29-w11-ruling-vs-plan-scope.md,CONSTRUCTIBLE,no resolver hardcodes status; was failing at filing now fixed,historically red at 39cb58e; fixed by Ruling 28
28,2026-08-29-w11-algorithm-pin-maturity.md,CONSTRUCTIBLE,maturity-check tripwire on algorithm status,compile.py:430; backend/tests/test_rating_version_compile.py:260 passes
29,2026-08-29-w11-algorithm-pin-maturity.md,CANNOT_DETERMINE,unowned register row with no decay event,F72's Decision cell literally contains unowned; whether Ruling 49's later conformance sentence legitimises that is open
30,2026-08-29-w11-fr-rate-65-attribution.md,CONSTRUCTIBLE,FR-RATE-65 absent from roadmap; fix outstanding,grep -c FR-RATE-65 docs/roadmap.md = 0; known tracked gap
31,2026-08-29-w11-3-d6-batch-resumability-ruling.md,NONE_FOUND,,confirmed empty directly and against register
32,2026-08-29-w11-3-d6-batch-resumability-ruling.md,NONE_FOUND,,confirmed empty; addendum at :340 is citation fixes only
33,2026-08-29-w11-slice-parallelism-ruling.md,NONE_FOUND,,confirmed empty
34,2026-08-29-w11-nfr-rate-2-sampling-structural-ruling.md,NONE_FOUND,,violation hits are ordinary NFR-violation prose not an item
35,2026-08-29-w11-nfr-rate-1-trace-capture-remedy-ruling.md,NONE_FOUND,,full section read; none
36,2026-08-30-w11-nfr-rate-11-quote-input-stores-ruling.md,NONE_FOUND,,violation hits are ordinary prose not an item
37,2026-08-30-w11-2b-bundle-resolution-ruling.md,NONE_FOUND,,confirmed empty
38,2026-08-30-w11-service-account-permissions-ruling.md,NONE_FOUND,,confirmed empty
39,2026-08-30-w11-reopen-hooks-and-bundle-resolution-rulings.md,NONE_FOUND,,own text has none; the "maintainer acceptance" sentence is a sign-off superseded by reopen-direction.md §4
40,2026-08-30-w11-reopen-hooks-and-bundle-resolution-rulings.md,CONSTRUCTIBLE,retry-cap hook: synthetic runtime state at cap+1 and cap-1,tests/test_retry_cap_hook.py cites Ruling 40 §5 verbatim; 11 tests pass
41,2026-08-30-w11-reopen-hooks-and-bundle-resolution-rulings.md,NONE_FOUND,,no formal Acceptance section anywhere in the ruling (5 subsections none titled Acceptance); an indicative-mood aside in §3 prose ("a per-request read is provable") was never promoted to a stated item
42,2026-08-30-w11-reopen-scope-and-batch-frame-contract-rulings.md,CONSTRUCTIBLE,three concrete prohibitions - stated by the ruling as testable not hortatory,docs/audit/work/W11/README.md §10.5 confirms all three citing Ruling 42
43,2026-08-30-w11-reopen-scope-and-batch-frame-contract-rulings.md,CONSTRUCTIBLE,(a) field-exclusion test + (b) output-serialisation totality test,packages/pricing-core/tests/test_rating_score_batch.py; 11 tests pass
44,2026-08-30-w11-4b-trace-environment-ruling.md,CONSTRUCTIBLE,two tests: multi-env key resolves to issued env; no-env caller writes no row,backend/tests/test_score.py:796,843 cite Ruling 44 part3; auth/service.py:230-234 implements it
45,2026-08-30-nt-0014-q1-q3-q4-rulings.md,CONSTRUCTIBLE,digest+commit-pairing broken-input proof for the process-core extract,scripts/audit-docs.py:778 check_process_core_digest (check 27) built
46,2026-08-30-nt-0014-q1-q3-q4-rulings.md,CONSTRUCTIBLE,three-case cutoff-date proof for the plan acceptance-standard check,check_plan_acceptance_standard (check 28) + tests/test_audit_docs_plan_acceptance_standard.py
47,2026-08-30-nt-0014-q1-q3-q4-rulings.md,CONSTRUCTIBLE,no-op watcher cycle must be byte-identical,tests/test_watcher_runtime_state.py:51 test_a_cycle_with_no_change_is_byte_identical
48,2026-08-30-nt-0014-q1-q3-q4-rulings.md,NONE_FOUND,,pure doc-text correction; no check described
49,2026-08-30-nt-0015-q1-q5-rulings.md,NONE_FOUND,,own text is a one-time PR with no stated check; its Text A/B/C become testable via Ruling 50
50,2026-08-30-nt-0015-q1-q5-rulings.md,CONSTRUCTIBLE,three broken fixtures + live-register positive control for register-lint,scripts/register-lint.py check_decision_grammar/check_resolution_annotation/check_unowned_decay - exactly the three named
51,2026-08-30-nt-0015-q1-q5-rulings.md,INDICATIVE,aggregate residue-count delta at two trees; report not test,register-lint.py residue/residue_line built and run; no violation threshold stated anywhere
52,2026-08-30-nt-0015-q1-q5-rulings.md,NONE_FOUND,,corrected from an earlier CONSTRUCTIBLE call; the three constraints are content requirements on a closure record not a stated run/observe test - code enforcing constraint 1 exists (register-owed.py) but the ruling itself never states a violation
53,2026-08-30-nt-0015-q1-q5-rulings.md,NONE_FOUND,,corrected from an earlier CONSTRUCTIBLE call; only sub-rules plus an override clause, no stated violation - findings/README.md ties to the convention but the ruling itself states no check
54,2026-08-31-f62-timing-ms-ruling.md,CONSTRUCTIBLE,file-level Acceptance Standard doubling as the ruling's own (single-ruling file); items 1-4,grep commands with stated expected output all verified; item 5 explicitly disclaimed as not a check
55,2026-09-01-nt-0016-q4-q5-q6-q7-notes-rulings.md,NONE_FOUND,,corrected from an earlier CONSTRUCTIBLE call; only an Overridden-if clause in prose, no separately labelled acceptance sentence
56,2026-09-01-nt-0016-q4-q5-q6-q7-notes-rulings.md,NONE_FOUND,,same correction as 55
57,2026-09-01-nt-0016-q4-q5-q6-q7-notes-rulings.md,NONE_FOUND,,same correction as 55
58,2026-09-01-nt-0016-q4-q5-q6-q7-notes-rulings.md,NONE_FOUND,,same correction as 55; one disjunct of its own override clause is a self-acknowledged subjective call
59,2026-09-01-nt-0016-slice2-fr-data-32-ruling.md,CONSTRUCTIBLE,three named broken-input census cases (Broken-input proof convention),backend/tests/test_lineage_census_carveout.py cites Ruling 59 x2; all 3 cases present
